title,company,location,experience_level,url,requirements_and_qualifications,climate_sectors,climate_opportunity_areas,climate_innovation_imperatives,applicable_majors,salary_min,salary_max,salary_type,company_description,skills,due_date,source,scraped_at
Accountant,Helion Energy,"Everett, WA",Entry-Level,https://job-boards.greenhouse.io/helionenergy/jobs/4624950005,"The Accountant will support the Finance team with transactional processing, journal entry preparation, balance sheet account reconciliations, variance analyses, and the preparation of deliverables for the financial statement audit. They will also assist with the implementation of internal controls. This position requires working at the Everett, WA office.",Electricity,Low-Emissions Generation,24/7 Clean Power Generation,"Finance & Accounting, Business Administration & Management, Economics, Mathematics & Applied Math, Statistics & Biostatistics",,,yearly,"Helion Energy is a fusion power company based in Everett, WA, with the mission to build the world's first fusion power plant, enabling a future with unlimited clean electricity.","Accounting, Journal Entries, Balance Sheet Reconciliation, Variance Analysis, Financial Statement Audit, Internal Controls",,Greenhouse API,2026-02-14T19:19:00.703497
Build Engineer,Helion Energy,"Everett, WA",Entry-Level,https://job-boards.greenhouse.io/helionenergy/jobs/4654416005,"The Build Engineer will drive the execution of fusion generator assemblies, own the manufacturing, assembly, and deployment of subsystems for integrated development testbeds and fusion generators. They will author work instructions for technician teams and work closely with design engineering and production to ensure manufacturability.",Electricity,Low-Emissions Generation,24/7 Clean Power Generation,"Mechanical Engineering, Electrical Engineering, Engineering Physics, Materials Science & Engineering, Physics",,,yearly,"Helion Energy is a fusion power company based in Everett, WA, with the mission to build the world's first fusion power plant, enabling a future with unlimited clean electricity.","manufacturing, assembly, electromagnets, high-voltage capacitor systems, vacuum systems, mechanical assemblies, work instructions, production",,Greenhouse API,2026-02-14T19:19:00.704647
Build Reliability Engineer,Helion Energy,"Everett, WA",Associate,https://job-boards.greenhouse.io/helionenergy/jobs/4607252005,"This role requires developing and implementing systems to ensure the reliability and efficiency of Helion's manufactured products and processes. The candidate will solve complex, multidisciplinary engineering problems related to fusion energy and collaborate with engineers and technicians.",Electricity,Low-Emissions Generation,24/7 Clean Power Generation,"Mechanical Engineering, Electrical Engineering, Materials Science & Engineering, Engineering Physics, Physics",,,yearly,Helion Energy is a fusion power company aiming to build the world's first fusion power plant for clean electricity.,"Reliability Engineering, Inspection Processes, Lean Manufacturing, Problem Solving, Collaboration, Hardware Manufacturing, Test Engineering, Systems Development",,Greenhouse API,2026-02-14T19:19:00.705538
Build Reliability Manager,Helion Energy,"Everett, WA",Lead/Principal,https://job-boards.greenhouse.io/helionenergy/jobs/4652164005,"The role requires experience in build reliability, preferably with complex electromechanical systems. The candidate should have experience building and mentoring high-performing teams, establishing build standards, and working with cross-functional teams like design, manufacturing, and supply chain.",Electricity,Low-Emissions Generation,24/7 Clean Power Generation,"Mechanical Engineering, Electrical Engineering, Materials Science & Engineering, Engineering Physics, Industrial & Systems Engineering",,,yearly,Helion Energy is a fusion power company aiming to build the world's first fusion power plant for clean electricity.,"Reliability Engineering, Team Management, Cross-functional Collaboration, Build Standards, Risk Assessment, Manufacturing, Supply Chain, Commissioning",,Greenhouse API,2026-02-14T19:19:00.706488
Build the Future with Us! | Helion Talent Community,Helion Energy,"Everett, WA",Entry-Level,https://job-boards.greenhouse.io/helionenergy/jobs/4522285005,"This is a general application for Helion Energy, a fusion power company. They are looking for motivated individuals who align with their values and are interested in solving hard problems related to fusion energy.",Electricity,Low-Emissions Generation,24/7 Clean Power Generation,"Engineering Physics, Nuclear Engineering, Electrical Engineering, Mechanical Engineering, Physics",,,yearly,"Helion Energy is a fusion power company based in Everett, WA, with the mission to build the world's first fusion power plant, enabling a future with unlimited clean electricity.","Fusion Energy, Plasma Physics, Engineering, Problem Solving",,Greenhouse API,2026-02-14T19:19:00.707291
Construction Project Manager,Helion Energy,"Everett, WA",Associate,https://job-boards.greenhouse.io/helionenergy/jobs/4599663005,"The Construction Project Manager will be responsible for the technical planning and delivery of construction projects across Helion’s sites. This includes translating complex engineering, manufacturing, and science requirements into construction-ready scope packages, managing budgets, schedules, procurement, and changes to scope, cost, or timeline.",Electricity,Low-Emissions Generation,24/7 Clean Power Generation,"Engineering: Civil Engineering, Engineering: Mechanical Engineering, Engineering: Electrical Engineering, Engineering: Environmental Engineering, Trades: Construction Management & Trades",,,yearly,"Helion Energy is a fusion power company based in Everett, WA, with the mission to build the world's first fusion power plant, enabling a future with unlimited clean electricity.","Project management, Construction planning, Budget management, Schedule management, Procurement, Conflict resolution, Stakeholder management",,Greenhouse API,2026-02-14T19:19:00.708746
Controls Development Engineer,Helion Energy,"Everett, WA",Associate,https://job-boards.greenhouse.io/helionenergy/jobs/4632789005,"The candidate will develop and implement automation and controls for manufacturing Helion's fusion generators. This role requires in-house expertise in manufacturing processes to accelerate the transition from rapid prototyping to mass production. The position is onsite in Everett, WA.",Electricity,Low-Emissions Generation,24/7 Clean Power Generation,"Electrical Engineering, Mechanical Engineering, Engineering Physics, Materials Science & Engineering, Computer Science",,,yearly,"Helion Energy is a fusion power company based in Everett, WA, with the mission to build the world's first fusion power plant, enabling a future with unlimited clean electricity.","Automation, Control Systems, Manufacturing Processes, Rapid Prototyping, Mass Production, Data Analysis, PLC Programming, MATLAB",,Greenhouse API,2026-02-14T19:19:00.710133
Director of Capacitor Production,Helion Energy,"Everett, WA",Executive,https://job-boards.greenhouse.io/helionenergy/jobs/4657894005,"The Director of Capacitor Production will lead and scale the capacitor production organization, including technicians, supervisors, production managers, and supporting roles. The role requires deep technical alignment with manufacturing and design engineering.",Electricity,Low-Emissions Generation,24/7 Clean Power Generation,"Engineering Physics, Electrical Engineering, Mechanical Engineering, Materials Science & Engineering, Industrial & Systems Engineering",,,yearly,Helion Energy is a fusion power company aiming to build the world's first fusion power plant for clean electricity.,"Capacitor Manufacturing, Production Management, Strategic Hiring, Technical Alignment, Factory Ramp-Up, Manufacturing Engineering, Design Engineering, Mentoring, High-Volume Operations, Strategic Planning",,Greenhouse API,2026-02-14T19:19:00.710884
"Director of Engineering, Fusion Plant Infrastructure",Helion Energy,"Everett, WA",Executive,https://job-boards.greenhouse.io/helionenergy/jobs/4622619005,"The Director of Engineering will lead the design and execution of Balance of Plant systems for a fusion power plant, including radiation shielding, gas handling, thermal management, and heat recovery. This role requires building and leading high-performing engineering teams across mechanical, thermal, and fluid systems.",Electricity,Low-Emissions Generation,24/7 Clean Power Generation,"Mechanical Engineering, Nuclear Engineering, Chemical Engineering, Electrical Engineering, Engineering Physics",,,yearly,"Helion Energy is a fusion power company based in Everett, WA, aiming to build the world's first fusion power plant for clean electricity.","Mechanical Engineering, Thermal Engineering, Fluid Systems, Leadership, Team Building, Radiation Shielding, Gas Handling, Heat Recovery, System Design",,Greenhouse API,2026-02-14T19:19:00.711704
Director of Fusion Plant Operations,Helion Energy,"Everett, WA",Executive,https://job-boards.greenhouse.io/helionenergy/jobs/4566875005,"The Director of Fusion Plant Operations will lead the team commissioning and operating fusion power plants, driving innovation across fusion test platforms and research projects. This leadership role requires building teams, processes, and standards to deploy, commission, test, and operate commercial-scale fusion power plants, reporting directly to the CEO.",Electricity,Low-Emissions Generation,24/7 Clean Power Generation,"Engineering Physics, Nuclear Engineering, Electrical Engineering, Mechanical Engineering, Energy Science & Engineering",,,yearly,"Helion Energy is a fusion power company based in Everett, WA, with the mission to build the world's first fusion power plant, enabling a future with unlimited clean electricity.","Fusion Technology, Team Leadership, Project Management, Vacuum Testing, Circuit Development, Power Plant Operations, Commissioning",,Greenhouse API,2026-02-14T19:19:00.712548
